|6.6.6
si52_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
116241654
13
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes Sp O
1038.30 16515.2 NaN NaN 50.9940 NaN NaN 32.5994 4.35502 12.0516 NaN NaN NaN
1040.32 16717.2 NaN NaN 50.9136 NaN NaN 32.6978 4.32442 12.0641 NaN NaN NaN
1042.34 16919.2 NaN NaN 50.8428 NaN NaN 32.7885 4.29056 12.0781 NaN NaN NaN
1044.36 17121.2 NaN NaN 50.7639 NaN NaN 32.8889 4.25317 12.0940 NaN NaN NaN
1046.38 17323.2 NaN NaN 50.6843 NaN NaN 32.9900 4.21581 12.1099 NaN NaN NaN
1048.40 17525.3 NaN NaN 50.6067 NaN NaN 33.0889 4.17892 12.1255 NaN NaN NaN
1050.42 17727.3 NaN NaN 50.5328 NaN NaN 33.1831 4.14406 12.1401 NaN NaN NaN
1052.44 17929.3 NaN NaN 50.4575 NaN NaN 33.2790 4.10836 12.1551 NaN NaN NaN
1054.46 18131.3 NaN NaN 50.3772 NaN NaN 33.3825 4.06778 12.1726 NaN NaN NaN
1056.48 18333.3 NaN NaN 50.2969 NaN NaN 33.4858 4.02734 12.1900 NaN NaN NaN
1058.50 18535.4 NaN NaN 50.2191 NaN NaN 33.5817 3.99646 12.2027 NaN NaN NaN
1060.52 18737.4 NaN NaN 50.1361 NaN NaN 33.6886 3.95446 12.2209 NaN NaN NaN
1062.54 18939.4 NaN NaN 50.0582 NaN NaN 33.7883 3.91647 12.2371 NaN NaN NaN
1064.56 19141.4 NaN NaN 49.9748 NaN NaN 33.8931 3.87902 12.2531 NaN NaN NaN
1066.58 19343.4 NaN NaN 49.8912 NaN NaN 33.9980 3.84181 12.2690 NaN NaN NaN
1068.60 19545.5 NaN NaN 49.8095 NaN NaN 34.1016 3.80351 12.2854 NaN NaN NaN
1070.62 19747.5 NaN NaN 49.7279 NaN NaN 34.2046 3.76614 12.3014 NaN NaN NaN
1072.64 19949.5 NaN NaN 49.6484 NaN NaN 34.3057 3.72835 12.3175 NaN NaN NaN
1074.67 20151.5 NaN NaN 49.5589 NaN NaN 34.4213 3.68171 12.3381 NaN NaN NaN
1076.69 20353.5 NaN NaN 49.4849 NaN NaN 34.5105 3.65673 12.3479 NaN NaN NaN
1078.71 20555.6 NaN NaN 49.3924 NaN NaN 34.6313 3.60537 12.3709 NaN NaN NaN
1080.73 20757.6 NaN NaN 49.3020 NaN NaN 34.7442 3.56577 12.3880 NaN NaN NaN
