SiO2,FeO,Na2O,CaO,MgO,Al2O3,TiO2,K2O,P2O5,MnO,Total
45,10.600821477446122,2.3044844691629067,12.93303777763225,10.040576612777706,17.015769698249606,1.0964560450122465,-0.07898177391740102,0.17655539218346666,0.1935647678989684,99.28228446644586
46,10.330678544948716,2.3621492269947484,12.49337858294961,9.660974359133007,16.91268757208194,1.0735070828167743,0.04585523032477923,0.1763047447156862,0.18856589262312493,99.24410123658838
47,10.06053561245131,2.4198139848265905,12.05371938826697,9.281372105488309,16.809605445914272,1.0505581206213022,0.17069223456695948,0.17605409724790572,0.18356701734728148,99.20591800673091
48,9.790392679953904,2.477478742658432,11.614060193584326,8.90176985184361,16.70652331974661,1.0276091584258302,0.29552923880913884,0.17580344978012521,0.178568142071438,99.1677347768734
49,9.520249747456496,2.535143500490274,11.174400998901685,8.522167598198912,16.60344119357894,1.004660196230358,0.4203662430513191,0.17555280231234474,0.17356926679559453,99.12955154701592
50,9.250106814959091,2.5928082583221155,10.734741804219041,8.142565344554217,16.500359067411274,0.9817112340348859,0.5452032472934993,0.17530215484456427,0.1685703915197511,99.09136831715844
51,8.979963882461686,2.650473016153957,10.2950826095364,7.762963090909519,16.39727694124361,0.958762271839414,0.6700402515356787,0.17505150737678377,0.16357151624390764,99.05318508730095
52,8.709820949964278,2.708137773985799,9.85542341485376,7.383360837264821,16.294194815075944,0.9358133096439418,0.794877255777859,0.1748008599090033,0.15857264096806417,99.01500185744347
53,8.439678017466871,2.7658025318176405,9.415764220171116,7.003758583620122,16.191112688908277,0.9128643474484697,0.9197142600200392,0.17455021244122282,0.1535737656922207,98.97681862758598
54,8.169535084969466,2.8234672896494826,8.976105025488476,6.624156329975428,16.088030562740613,0.8899153852529977,1.0445512642622186,0.17429956497344234,0.14857489041637723,98.9386353977285
55,7.8993921524720605,2.8811320474813242,8.536445830805835,6.244554076330729,15.984948436572946,0.8669664230575256,1.1693882685043988,0.17404891750566184,0.14357601514053375,98.90045216787101
56,7.629249219974653,2.938796805313166,8.096786636123191,5.864951822686031,15.881866310405279,0.8440174608620534,1.294225272746579,0.17379827003788137,0.13857713986469028,98.86226893801351
57,7.359106287477246,2.9964615631450076,7.657127441440551,5.4853495690413325,15.778784184237612,0.8210684986665815,1.4190622769887584,0.1735476225701009,0.13357826458884686,98.82408570815602
58,7.088963354979841,3.054126320976849,7.217468246757907,5.105747315396638,15.675702058069948,0.7981195364711093,1.5438992812309387,0.1732969751023204,0.1285793893130034,98.78590247829855
59,6.818820422482435,3.111791078808691,6.777809052075266,4.726145061751939,15.572619931902281,0.7751705742756372,1.668736285473119,0.17304632763453992,0.12358051403715992,98.74771924844106
60,6.548677489985028,3.1694558366405325,6.338149857392626,4.346542808107241,15.469537805734614,0.7522216120801652,1.7935732897152983,0.17279568016675945,0.11858163876131644,98.70953601858358
61,6.278534557487621,3.2271205944723746,5.898490662709982,3.9669405544625427,15.366455679566949,0.7292726498846931,1.9184102939574785,0.17254503269897897,0.11358276348547297,98.67135278872608
62,6.008391624990217,3.2847853523042163,5.458831468027341,3.587338300817848,15.263373553399283,0.7063236876892209,2.043247298199659,0.17229438523119847,0.10858388820962955,98.6331695588686
63,5.73824869249281,3.342450110136058,5.019172273344697,3.2077360471731495,15.160291427231616,0.683374725493749,2.168084302441838,0.172043737763418,0.10358501293378608,98.59498632901112
64,5.468105759995403,3.4001148679678996,4.579513078662057,2.828133793528451,15.057209301063951,0.6604257632982768,2.2929213066840184,0.17179309029563752,0.09858613765794261,98.55680309915364
65,5.197962827497996,3.4577796257997413,4.139853883979416,2.448531539883753,14.954127174896286,0.6374768011028047,2.4177583109261986,0.17154244282785702,0.09358726238209913,98.51861986929616
