|6.6.6
hacker_2015_fast_Vp_1.tab
1
T(K)
200.00000000000011
200.00000000000011
873764086
13
T(K) P(bar) Pl Pl Cpx Cpx Gt ky qtz coes Opx Sp O
1036.28 16313.1 NaN NaN 53.4861 NaN 30.8217 5.15340 10.5387 NaN NaN NaN NaN
1038.30 16515.2 NaN NaN 53.3969 NaN 30.9346 5.11109 10.5575 NaN NaN NaN NaN
1040.32 16717.2 NaN NaN 53.3128 NaN 31.0382 5.07690 10.5722 NaN NaN NaN NaN
1042.34 16919.2 NaN NaN 53.2293 NaN 31.1432 5.03857 10.5889 NaN NaN NaN NaN
1044.36 17121.2 NaN NaN 53.1399 NaN 31.2552 4.99810 10.6067 NaN NaN NaN NaN
1046.38 17323.2 NaN NaN 53.0532 NaN 31.3639 4.95885 10.6240 NaN NaN NaN NaN
1048.40 17525.3 NaN NaN 52.9607 NaN 31.4798 4.91682 10.6426 NaN NaN NaN NaN
1050.42 17727.3 NaN NaN 52.8775 NaN 31.5844 4.87895 10.6592 NaN NaN NaN NaN
1052.44 17929.3 NaN NaN 52.7859 NaN 31.6990 4.83753 10.6775 NaN NaN NaN NaN
1054.46 18131.3 NaN NaN 52.7005 NaN 31.8080 4.79522 10.6963 NaN NaN NaN NaN
1056.48 18333.3 NaN NaN 52.6103 NaN 31.9225 4.75129 10.7159 NaN NaN NaN NaN
1058.50 18535.4 NaN NaN 52.5192 NaN 32.0337 4.71582 10.7313 NaN NaN NaN NaN
1060.52 18737.4 NaN NaN 52.4264 NaN 32.1513 4.67079 10.7515 NaN NaN NaN NaN
1062.54 18939.4 NaN NaN 52.3344 NaN 32.2673 4.62744 10.7708 NaN NaN NaN NaN
1064.56 19141.4 NaN NaN 52.2431 NaN 32.3809 4.58778 10.7883 NaN NaN NaN NaN
1066.58 19343.4 NaN NaN 52.1432 NaN 32.5048 4.54430 10.8078 NaN NaN NaN NaN
1068.60 19545.5 NaN NaN 52.0517 NaN 32.6186 4.50409 10.8256 NaN NaN NaN NaN
1070.62 19747.5 NaN NaN 51.9592 NaN 32.7341 4.46287 10.8438 NaN NaN NaN NaN
1072.64 19949.5 NaN NaN 51.8627 NaN 32.8550 4.41870 10.8636 NaN NaN NaN NaN
1074.67 20151.5 NaN NaN 51.7585 NaN 32.9876 4.36641 10.8875 NaN NaN NaN NaN
1076.69 20353.5 NaN NaN 51.6787 NaN 33.0823 4.34129 10.8978 NaN NaN NaN NaN
1078.71 20555.6 NaN NaN 51.5799 NaN 33.2102 4.28780 10.9221 NaN NaN NaN NaN
1080.73 20757.6 NaN NaN 51.4808 NaN 33.3326 4.24545 10.9411 NaN NaN NaN NaN
1082.75 20959.6 NaN NaN 51.3873 NaN 33.4526 4.19738 10.9627 NaN NaN NaN NaN
1084.77 21161.6 NaN NaN 51.2748 NaN 33.5891 4.15365 10.9825 NaN NaN NaN NaN
1086.79 21363.6 NaN NaN 51.1868 NaN 33.7009 4.11071 11.0016 NaN NaN NaN NaN
1088.81 21565.7 NaN NaN 51.0885 NaN 33.8256 4.06274 11.0232 NaN NaN NaN NaN
1090.83 21767.7 NaN NaN 50.9913 NaN 33.9458 4.02096 11.0419 NaN NaN NaN NaN
1092.85 21969.7 NaN NaN 50.8896 NaN 34.0727 3.97508 11.0626 NaN NaN NaN NaN
1094.87 22171.7 NaN NaN 50.8013 NaN 34.1814 3.93901 11.0783 NaN NaN NaN NaN
1096.89 22373.7 NaN NaN 50.6860 NaN 34.3243 3.88816 11.1015 NaN NaN NaN NaN
1098.91 22575.8 NaN NaN 50.5878 NaN 34.4471 3.84364 11.1215 NaN NaN NaN NaN
1100.93 22777.8 NaN NaN 50.4830 NaN 34.5774 3.79707 11.1426 NaN NaN NaN NaN
1102.95 22979.8 NaN NaN 50.3824 NaN 34.7031 3.75131 11.1632 NaN NaN NaN NaN
1104.97 23181.8 NaN NaN 50.2777 NaN 34.8337 3.70411 11.1845 NaN NaN NaN NaN
1106.99 23383.8 NaN NaN 50.1719 NaN 34.9650 3.65751 11.2056 NaN NaN NaN NaN
1109.01 23585.9 NaN NaN 50.0726 NaN 35.0891 3.61243 11.2259 NaN NaN NaN NaN
1111.03 23787.9 NaN NaN 49.9710 NaN 35.2166 3.56511 11.2472 NaN NaN NaN NaN
1113.05 23989.9 NaN NaN 49.8680 NaN 35.3465 3.51597 11.2695 NaN NaN NaN NaN
1115.07 24191.9 NaN NaN 49.7705 NaN 35.4662 3.47599 11.2873 NaN NaN NaN NaN
1117.09 24393.9 NaN NaN 49.6585 NaN 35.6060 3.42500 11.3105 NaN NaN NaN NaN
1119.11 24596.0 NaN NaN 49.5508 NaN 35.7386 3.37946 11.3311 NaN NaN NaN NaN
1121.13 24798.0 NaN NaN 49.4500 NaN 35.8645 3.33406 11.3515 NaN NaN NaN NaN
1123.15 25000.0 NaN NaN 49.3426 NaN 35.9978 3.28651 11.3731 NaN NaN NaN NaN
