|6.6.6
sammon_2021_deep_crust_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-352299786
11
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes
1050.42 17727.3 NaN NaN 46.6625 NaN NaN 21.0024 7.78165 24.5535 NaN
1052.44 17929.3 NaN NaN 46.6203 NaN NaN 21.0592 7.76244 24.5580 NaN
1054.46 18131.3 NaN NaN 46.5812 NaN NaN 21.1136 7.74211 24.5631 NaN
1056.48 18333.3 NaN NaN 46.5398 NaN NaN 21.1710 7.72035 24.5689 NaN
1058.50 18535.4 NaN NaN 46.4984 NaN NaN 21.2244 7.70609 24.5711 NaN
1060.52 18737.4 NaN NaN 46.4535 NaN NaN 21.2860 7.68267 24.5778 NaN
1062.54 18939.4 NaN NaN 46.4123 NaN NaN 21.3423 7.66245 24.5829 NaN
1064.56 19141.4 NaN NaN 46.3697 NaN NaN 21.3991 7.64379 24.5874 NaN
1066.58 19343.4 NaN NaN 46.3260 NaN NaN 21.4564 7.62626 24.5913 NaN
1068.60 19545.5 NaN NaN 46.2792 NaN NaN 21.5188 7.60477 24.5972 NaN
1070.62 19747.5 NaN NaN 46.2310 NaN NaN 21.5827 7.58308 24.6033 NaN
1072.64 19949.5 NaN NaN 46.1919 NaN NaN 21.6360 7.56427 24.6078 NaN
1074.67 20151.5 NaN NaN 46.1495 NaN NaN 21.6951 7.54068 24.6147 NaN
1076.69 20353.5 NaN NaN 46.0950 NaN NaN 21.7623 7.52436 24.6184 NaN
1078.71 20555.6 NaN NaN 46.0592 NaN NaN 21.8153 7.49996 24.6255 NaN
1080.73 20757.6 NaN NaN 46.0102 NaN NaN 21.8792 7.47954 24.6311 NaN
1082.75 20959.6 NaN NaN 45.9677 NaN NaN 21.9387 7.45519 24.6384 NaN
1084.77 21161.6 NaN NaN 45.9157 NaN NaN 22.0045 7.43655 24.6433 NaN
1086.79 21363.6 NaN NaN 45.8707 NaN NaN 22.0659 7.41311 24.6502 NaN
1088.81 21565.7 NaN NaN 45.8233 NaN NaN 22.1303 7.38866 24.6578 NaN
1090.83 21767.7 NaN NaN 45.7777 NaN NaN 22.1904 7.36882 24.6631 NaN
1092.85 21969.7 NaN NaN 45.7293 NaN NaN 22.2547 7.34626 24.6698 NaN
1094.87 22171.7 NaN NaN 45.6787 NaN NaN 22.3198 7.32616 24.6753 NaN
1096.89 22373.7 NaN NaN 45.6266 NaN NaN 22.3882 7.30256 24.6826 NaN
1098.91 22575.8 NaN NaN 45.5786 NaN NaN 22.4519 7.28041 24.6892 NaN
1100.93 22777.8 NaN NaN 45.5328 NaN NaN 22.5130 7.25885 24.6954 NaN
1102.95 22979.8 NaN NaN 45.4839 NaN NaN 22.5778 7.23609 24.7023 NaN
1104.97 23181.8 NaN NaN 45.4343 NaN NaN 22.6437 7.21234 24.7096 NaN
1106.99 23383.8 NaN NaN 45.3779 NaN NaN 22.7169 7.18743 24.7177 NaN
1109.01 23585.9 NaN NaN 45.3283 NaN NaN 22.7828 7.16391 24.7250 NaN
1111.03 23787.9 NaN NaN 45.2820 NaN NaN 22.8453 7.14046 24.7322 NaN
1113.05 23989.9 NaN NaN 45.2311 NaN NaN 22.9133 7.11518 24.7404 NaN
1115.07 24191.9 NaN NaN 45.1887 NaN NaN 22.9677 7.09997 24.7437 NaN
1117.09 24393.9 NaN NaN 45.1304 NaN NaN 23.0451 7.07039 24.7540 NaN
1119.11 24596.0 NaN NaN 45.0694 NaN NaN 23.1232 7.04469 24.7627 NaN
1121.13 24798.0 NaN NaN 45.0239 NaN NaN 23.1842 7.02265 24.7693 NaN
1123.15 25000.0 NaN NaN 44.9705 NaN NaN 23.2542 6.99819 24.7772 NaN
