|6.6.6
si50_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
1234035958
13
T(K) P(bar) Pl Pl Sp Cpx Cpx Opx Gt ky O qtz coes
1036.28 16313.1 NaN NaN NaN 53.7861 NaN NaN 35.3414 4.21994 NaN 6.65263 NaN
1038.30 16515.2 NaN NaN NaN 53.6948 NaN NaN 35.4524 4.18327 NaN 6.66948 NaN
1040.32 16717.2 NaN NaN NaN 53.6072 NaN NaN 35.5619 4.14257 NaN 6.68833 NaN
1042.34 16919.2 NaN NaN NaN 53.5151 NaN NaN 35.6773 4.09895 NaN 6.70866 NaN
1044.36 17121.2 NaN NaN NaN 53.4193 NaN NaN 35.7972 4.05356 NaN 6.72989 NaN
1046.38 17323.2 NaN NaN NaN 53.3306 NaN NaN 35.9089 4.01069 NaN 6.74981 NaN
1048.40 17525.3 NaN NaN NaN 53.2410 NaN NaN 36.0214 3.96778 NaN 6.76976 NaN
1050.42 17727.3 NaN NaN NaN 53.1489 NaN NaN 36.1371 3.92354 NaN 6.79038 NaN
1052.44 17929.3 NaN NaN NaN 53.0488 NaN NaN 36.2623 3.87632 NaN 6.81254 NaN
1054.46 18131.3 NaN NaN NaN 52.9487 NaN NaN 36.3891 3.82599 NaN 6.83624 NaN
1056.48 18333.3 NaN NaN NaN 52.8616 NaN NaN 36.5002 3.78111 NaN 6.85714 NaN
1058.50 18535.4 NaN NaN NaN 52.7655 NaN NaN 36.6175 3.74157 NaN 6.87544 NaN
1060.52 18737.4 NaN NaN NaN 52.6715 NaN NaN 36.7372 3.69335 NaN 6.89803 NaN
1062.54 18939.4 NaN NaN NaN 52.5723 NaN NaN 36.8620 3.64502 NaN 6.92072 NaN
1064.56 19141.4 NaN NaN NaN 52.4644 NaN NaN 36.9950 3.59752 NaN 6.94303 NaN
1066.58 19343.4 NaN NaN NaN 52.3710 NaN NaN 37.1117 3.55409 NaN 6.96323 NaN
