|6.6.6
sammon_2021_eclogite_terrains_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-2068249354
11
T(K) P(bar) O Pl Pl Cpx Opx Sp Gt ky qtz
1052.44 17929.3 NaN NaN NaN 60.4103 NaN NaN 28.0139 5.57223 6.00359
1054.46 18131.3 NaN NaN NaN 60.3120 NaN NaN 28.1368 5.52540 6.02580
1056.48 18333.3 NaN NaN NaN 60.2427 NaN NaN 28.2172 5.50582 6.03431
1058.50 18535.4 NaN NaN NaN 60.1332 NaN NaN 28.3589 5.44362 6.06423
1060.52 18737.4 NaN NaN NaN 60.0325 NaN NaN 28.4871 5.39109 6.08929
1062.54 18939.4 NaN NaN NaN 59.9350 NaN NaN 28.6109 5.34105 6.11308
1064.56 19141.4 NaN NaN NaN 59.8395 NaN NaN 28.7294 5.29741 6.13368
1066.58 19343.4 NaN NaN NaN 59.7396 NaN NaN 28.8549 5.24867 6.15682
1068.60 19545.5 NaN NaN NaN 59.6392 NaN NaN 28.9808 5.20010 6.17989
1070.62 19747.5 NaN NaN NaN 59.5432 NaN NaN 29.1017 5.15284 6.20227
1072.64 19949.5 NaN NaN NaN 59.4252 NaN NaN 29.2478 5.09885 6.22812
1074.67 20151.5 NaN NaN NaN 59.3380 NaN NaN 29.3583 5.05492 6.24878
1076.69 20353.5 NaN NaN NaN 59.2330 NaN NaN 29.4902 5.00371 6.27315
1078.71 20555.6 NaN NaN NaN 59.1275 NaN NaN 29.6220 4.95338 6.29709
1080.73 20757.6 NaN NaN NaN 59.0189 NaN NaN 29.7580 4.90098 6.32207
1082.75 20959.6 NaN NaN NaN 58.9124 NaN NaN 29.8912 4.85018 6.34623
1084.77 21161.6 NaN NaN NaN 58.8065 NaN NaN 30.0239 4.79901 6.37056
1086.79 21363.6 NaN NaN NaN 58.6938 NaN NaN 30.1654 4.74379 6.39693
1088.81 21565.7 NaN NaN NaN 58.5884 NaN NaN 30.2983 4.69154 6.42179
1090.83 21767.7 NaN NaN NaN 58.4757 NaN NaN 30.4380 4.64010 6.44627
1092.85 21969.7 NaN NaN NaN 58.3649 NaN NaN 30.5766 4.58691 6.47161
