|6.6.6
si53_norm_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-133090058
11
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes
1050.42 17727.3 NaN NaN 49.2334 NaN NaN 31.7542 4.24893 14.7635 NaN
1052.44 17929.3 NaN NaN 49.1614 NaN NaN 31.8465 4.21503 14.7771 NaN
1054.46 18131.3 NaN NaN 49.0930 NaN NaN 31.9358 4.18026 14.7910 NaN
1056.48 18333.3 NaN NaN 49.0210 NaN NaN 32.0293 4.14391 14.8058 NaN
1058.50 18535.4 NaN NaN 48.9525 NaN NaN 32.1144 4.11737 14.8158 NaN
1060.52 18737.4 NaN NaN 48.8784 NaN NaN 32.2109 4.07941 14.8314 NaN
1062.54 18939.4 NaN NaN 48.8073 NaN NaN 32.3028 4.04428 14.8456 NaN
1064.56 19141.4 NaN NaN 48.7281 NaN NaN 32.4025 4.00996 14.8595 NaN
1066.58 19343.4 NaN NaN 48.6555 NaN NaN 32.4942 3.97832 14.8720 NaN
1068.60 19545.5 NaN NaN 48.5811 NaN NaN 32.5890 3.94405 14.8859 NaN
1070.62 19747.5 NaN NaN 48.5062 NaN NaN 32.6843 3.90972 14.8998 NaN
1072.64 19949.5 NaN NaN 48.4253 NaN NaN 32.7877 3.87114 14.9158 NaN
1074.67 20151.5 NaN NaN 48.3621 NaN NaN 32.8711 3.83739 14.9293 NaN
1076.69 20353.5 NaN NaN 48.2897 NaN NaN 32.9588 3.81328 14.9382 NaN
1078.71 20555.6 NaN NaN 48.1995 NaN NaN 33.0767 3.76430 14.9595 NaN
1080.73 20757.6 NaN NaN 48.1245 NaN NaN 33.1716 3.73086 14.9730 NaN
1082.75 20959.6 NaN NaN 48.0524 NaN NaN 33.2662 3.69241 14.9889 NaN
1084.77 21161.6 NaN NaN 47.9694 NaN NaN 33.3690 3.65922 15.0024 NaN
1086.79 21363.6 NaN NaN 47.8929 NaN NaN 33.4677 3.62134 15.0181 NaN
1088.81 21565.7 NaN NaN 47.8212 NaN NaN 33.5607 3.58509 15.0330 NaN
1090.83 21767.7 NaN NaN 47.7348 NaN NaN 33.6693 3.54698 15.0489 NaN
1092.85 21969.7 NaN NaN 47.6567 NaN NaN 33.7689 3.51032 15.0641 NaN
1094.87 22171.7 NaN NaN 47.5713 NaN NaN 33.8752 3.47460 15.0789 NaN
