|6.6.6
zhang_2022_cd07-2_1.tab
1
T(K)
500.00000000000011
500.00000000000011
1975780598
10
T(K) P(bar) O Pl Pl Cpx Opx Gt qtz ky
1131.74 10656.6 NaN 28.9413 NaN 35.1975 3.47615 27.5536 4.83144 NaN
1136.79 10454.5 NaN 30.8688 NaN 33.9529 5.46980 25.3793 4.32924 NaN
1141.84 10252.5 NaN 33.4064 NaN 32.3599 8.18005 22.3866 3.66704 NaN
1146.89 10050.5 NaN 37.0133 NaN 30.1590 12.1372 17.9661 2.72442 NaN
1151.94 9848.48 NaN 42.6934 NaN 26.7901 18.5065 10.7721 1.23790 NaN
1156.99 9646.46 NaN 47.4209 NaN 24.0039 23.8672 4.70802 NaN NaN
1162.04 9444.44 NaN 47.4137 NaN 24.0247 24.0552 4.50641 NaN NaN
1167.09 9242.42 NaN 47.4063 NaN 24.0464 24.2444 4.30296 NaN NaN
1172.14 9040.40 NaN 47.3984 NaN 24.0698 24.4430 4.08878 NaN NaN
1177.19 8838.38 1.68792 50.6012 NaN 22.1815 25.5294 NaN NaN NaN
1182.24 8636.36 1.77238 50.7699 NaN 22.0416 25.4161 NaN NaN NaN
1187.29 8434.34 1.85028 50.9255 NaN 21.9110 25.3132 NaN NaN NaN
1192.34 8232.32 1.92583 51.0764 NaN 21.7835 25.2142 NaN NaN NaN
1197.39 8030.30 1.99653 51.2177 NaN 21.6628 25.1230 NaN NaN NaN
1202.44 7828.28 2.06215 51.3488 NaN 21.5491 25.0399 NaN NaN NaN
1207.49 7626.26 2.12541 51.4753 NaN 21.4387 24.9605 NaN NaN NaN
1212.54 7424.24 2.18463 51.5937 NaN 21.3337 24.8879 NaN NaN NaN
1217.59 7222.22 2.23952 51.7035 NaN 21.2349 24.8221 NaN NaN NaN
1222.64 7020.20 2.29228 51.8091 NaN 21.1386 24.7600 NaN NaN NaN
1227.70 6818.18 2.34485 51.9142 NaN 21.0421 24.6988 NaN NaN NaN
1232.75 6616.16 2.39341 52.0114 NaN 20.9511 24.6440 NaN NaN NaN
1237.80 6414.14 2.43959 52.1038 NaN 20.8631 24.5934 NaN NaN NaN
1242.85 6212.12 2.48243 52.1896 NaN 20.7797 24.5483 NaN NaN NaN
1247.90 6010.10 2.52391 52.2726 NaN 20.6977 24.5058 NaN NaN NaN
1252.95 5808.08 2.56463 52.3541 NaN 20.6163 24.4650 NaN NaN NaN
1258.00 5606.06 2.60313 52.4312 NaN 20.5375 24.4282 NaN NaN NaN
1263.05 5404.04 2.63990 52.5048 NaN 20.4607 24.3946 NaN NaN NaN
1268.10 5202.02 2.67475 52.5746 NaN 20.3864 24.3643 NaN NaN NaN
1273.15 5000.00 2.70940 52.6440 NaN 20.3115 24.3351 NaN NaN NaN
