|6.6.6
sammon_2021_averaged_1.tab
1
T(K)
200.00000000000011
200.00000000000011
942523638
11
T(K) P(bar) Pl Pl Cpx Cpx Opx Gt ky qtz coes
1050.42 17727.3 NaN NaN 51.1373 NaN NaN 19.6793 9.58534 19.5981 NaN
1052.44 17929.3 NaN NaN 51.0836 NaN NaN 19.7496 9.56021 19.6065 NaN
1054.46 18131.3 NaN NaN 51.0371 NaN NaN 19.8133 9.53447 19.6152 NaN
1056.48 18333.3 NaN NaN 50.9883 NaN NaN 19.8794 9.50812 19.6241 NaN
1058.50 18535.4 NaN NaN 50.9364 NaN NaN 19.9451 9.48858 19.6299 NaN
1060.52 18737.4 NaN NaN 50.8858 NaN NaN 20.0134 9.46134 19.6394 NaN
1062.54 18939.4 NaN NaN 50.8387 NaN NaN 20.0770 9.43674 19.6476 NaN
1064.56 19141.4 NaN NaN 50.7874 NaN NaN 20.1439 9.41361 19.6551 NaN
1066.58 19343.4 NaN NaN 50.7347 NaN NaN 20.2126 9.38961 19.6631 NaN
1068.60 19545.5 NaN NaN 50.6843 NaN NaN 20.2789 9.36573 19.6710 NaN
1070.62 19747.5 NaN NaN 50.6298 NaN NaN 20.3500 9.34040 19.6798 NaN
1072.64 19949.5 NaN NaN 50.5737 NaN NaN 20.4236 9.31334 19.6893 NaN
1074.67 20151.5 NaN NaN 50.5233 NaN NaN 20.4931 9.28346 19.7002 NaN
1076.69 20353.5 NaN NaN 50.4734 NaN NaN 20.5538 9.26922 19.7036 NaN
1078.71 20555.6 NaN NaN 50.4123 NaN NaN 20.6376 9.23182 19.7182 NaN
1080.73 20757.6 NaN NaN 50.3592 NaN NaN 20.7063 9.20857 19.7260 NaN
1082.75 20959.6 NaN NaN 50.3039 NaN NaN 20.7816 9.17645 19.7381 NaN
1084.77 21161.6 NaN NaN 50.2467 NaN NaN 20.8530 9.15533 19.7449 NaN
1086.79 21363.6 NaN NaN 50.1912 NaN NaN 20.9277 9.12498 19.7562 NaN
1088.81 21565.7 NaN NaN 50.1329 NaN NaN 21.0056 9.09359 19.7680 NaN
1090.83 21767.7 NaN NaN 50.0726 NaN NaN 21.0828 9.06716 19.7774 NaN
1092.85 21969.7 NaN NaN 50.0163 NaN NaN 21.1569 9.03922 19.7876 NaN
1094.87 22171.7 NaN NaN 49.9551 NaN NaN 21.2340 9.01466 19.7962 NaN
1096.89 22373.7 NaN NaN 49.8967 NaN NaN 21.3104 8.98625 19.8066 NaN
1098.91 22575.8 NaN NaN 49.8371 NaN NaN 21.3879 8.95799 19.8170 NaN
1100.93 22777.8 NaN NaN 49.7768 NaN NaN 21.4665 8.92877 19.8279 NaN
1102.95 22979.8 NaN NaN 49.7193 NaN NaN 21.5419 8.90065 19.8382 NaN
1104.97 23181.8 NaN NaN 49.6560 NaN NaN 21.6243 8.86973 19.8500 NaN
1106.99 23383.8 NaN NaN 49.5865 NaN NaN 21.7134 8.83778 19.8623 NaN
1109.01 23585.9 NaN NaN 49.5263 NaN NaN 21.7919 8.80837 19.8733 NaN
1111.03 23787.9 NaN NaN 49.4596 NaN NaN 21.8792 8.77452 19.8866 NaN
1113.05 23989.9 NaN NaN 49.4010 NaN NaN 21.9571 8.74357 19.8983 NaN
1115.07 24191.9 NaN NaN 49.3333 NaN NaN 22.0419 8.71637 19.9084 NaN
1117.09 24393.9 NaN NaN 49.2705 NaN NaN 22.1247 8.68368 19.9211 NaN
1119.11 24596.0 NaN NaN 49.2047 NaN NaN 22.2084 8.65508 19.9318 NaN
1121.13 24798.0 NaN NaN 49.1368 NaN NaN 22.2963 8.62212 19.9447 NaN
1123.15 25000.0 NaN NaN 49.0745 NaN NaN 22.3771 8.59245 19.9560 NaN
