,Abbrev,Name,Formula,Parent
133,Spl,Mg-Al Spinel,MgAl2O4,
134,MgRwd,Mg Ringwoodite,Mg2SiO4,
135,MgWds,Mg Wadsleyite,Mg2SiO4,
136,Mc,Microcline,KAlSi3O8,
137,Mtc,Monticellite,CaMgSiO4,
138,Ms,Muscovite,KAl3Si3O10(OH)2 ,
139,nLct,Na-Leucite,NaAlSi2O6,
140,NaPhl,Na_Phlogopite,NaMg3AlSi3O12H2,
141,Nph,Nepheline,NaAlSiO4,
142,Ni,Nickel,Ni,
143,NiO,Nickel_Oxide,NiO,
144,NiOl,Ni-Olivine,Ni2SiO4,
145,Or,Orthoclase,KAlSi3O8,
146,En,Orthoenstatite,MgSiO3,
147,Osm1,Osumilite_1,KMg2Al5Si10O30,
148,Osm2,Osumilite_2,KMg2Al5Si10O30,
149,Pg,Paragonite,NaAl3Si3O10(OH)2,
150,Prg,Pargasite,NaCa2Mg4AlAl2Si6O22(OH)2,
151,Per,Periclase,MgO,
152,Prv,Perovskite,CaTiO3,
153,MgPrv,Mg-Perovskite (Bridgmanite),MgSiO3,
154,FePrv,Fe-Perovskite,FeSiO3,
155,AlPrv,Al-Perovskite,Al2O3,
156,PhA,Phase_A,Mg7Si2O14H6,
157,MgPpv,Mg-Post-Perovskite,MgSiO3,
158,FePpv,Fe-Post-Perovskite,FeSiO3,
159,AlPpv,Al-Post-Perovskite,Al2O3,
160,CaPrv,Calcium Perovskite,CaSiO3,
161,Phl,Phlogopite,KMg3Si3AlO10(OH)2,
162,Kfs,Potassium Feldspar,KAlSi3O8,
163,Prh,Prehnite,Ca2Al2Si3O10(OH)2,
164,pEn,Protoenstatite,MgSiO3,
165,Psb,Pseudobrookite,Fe2TiO5,
166,pWo,Pseudowollastonite,CaSiO3,
167,Pmp,Pumpellyite,Ca4Al5MgSi6O28H7,
168,Prp,Pyrope,Mg3Al2Si3O12,
169,Pph,Pyrophanite,MnTiO3,
170,Prl,Pyrophyllite,Al2Si4O10(OH)2,
171,Pxm,Pyroxmangite,MnSiO3,
172,Qz,Quartz,SiO2,
173,aQz,Quartz (alpha),SiO2,
174,bQz,Quartz (beta),SiO2,
175,Rnk,Rankinite,Ca3Si2O7,
176,Rbk,Riebeckite,Na2Fe5Si8O24H2,
177,Rhs,Rhodochrosite,MnCO3,
178,Rdn,Rhodonite,MnSiO3,
179,Rt,Rutile,TiO2,
180,Sa,Sanidine,KAlSi3O8,
181,Spr4,Sapphirine_442,Mg4Al8Si2O20,
182,Spr7,Sapphirine_793,Mg3.5Al9Si1.5O20,
183,Seif,Seifertite,SiO2,
184,Sd,Siderite,FeCO3,
185,Sil,Sillimanite,Al2SiO5 ,
186,fSil,Fibrous Sillimanite (fibrolite),Al2SiO5,
187,nMll,Soda-Melilite,Na2Si3O7,
188,Sps,Spessartine,Mn3Al2Si3O12,
189,Spn,Sphene (titanite),CaTiSiO5,
190,Spl,Spinel,MgAl2O4,
191,Spu,Spurrite,Ca5Si2CO11,
192,Stb,Stilbite,CaAl2Si7O25H14,
193,Syl,Sylvite,KCl,
194,Tly,Tilleyite,Ca5Si2C2O13,
195,Ttn,Titanite (sphene),CaTiSiO5,
196,Sti,Stishovite,SiO2,
197,Sud,Sudoite,Mg2Al4Si3O18H8,
198,Tlc,Talc,Mg3Si4O10(OH)2,
199,Tep,Tephroite,Mn2SiO4,
200,Tpz,Hydroxy_Topaz,Al2SiO6H2,
201,Tr,Tremolite,Ca2Mg5Si8O22(OH)2,
202,Trd,Tridymite,SiO2,
203,lTrd,Tridymite (low),SiO2,
204,hTrd,Tridymite (high),SiO2,
205,Ts,Tschermakite,Ca2Mg3Al4Si6O24H2,
206,TsTlc,Tschermak_Talc,Mg2Al2Si3O12H2,
207,Usp,Ulvospinel,Fe2TiO4,
208,Ves,Vesuvianite,Ca19Mg2Al11Si18O78H9,
209,Wrk,Wairakite,CaAl2Si4O14H4,
210,Wht,Whitlockite,Ca3(PO4)2,
211,Wo,Wollastonite,CaSiO3,
212,Wus,Wustite,FeO,
213,Zrn,Zircon,ZrSiO4,
214,Zo,Zoisite,Ca2Al3Si3O12(OH) ,
215,H2,Hydrogen Gas,H2,
216,O2,Oxygen Gas,O2,
217,CO2,Carbon Dioxide Gas,CO2,
218,CO,Carbon_Monoxide,CO,
219,CH4,Methane,CH4,
220,S2,Sulfur Gas,S2,
221,H2O,Water Fluid,H2O,
222,AbL,Albite_Liquid,NaAlSi3O8,
223,AnL,Anorthite_Liquid,CaAl2Si2O8,
224,DiL,Diopside_Liquid,CaMgSi2O6,
225,EnL,Enstatite_Liquid,Mg2Si2O6,
226,FaL,Fayalite_Liquid,Fe2SiO4,
227,FoL,Forsterite_Liquid,Mg2SiO4,
228,H2oL,H2O_Liquid,H2O,
229,HlL,Halite_Liquid,NaCl,
230,SaL,K_Feldspar_Liquid,KCl,
231,QzL,Silica_Liquid,SiO2,
232,SilL,Sillimanite_Liquid,Al2SiO5,
233,SylL,Sylvite_Liquid,KCl,
