a0,abbrev,eos,formula,gamma0,k00,k0p,n,name,q,refS,SD,T_r,TC0,theta0,v0,V_r,VD
-1362442.75,perov,6,Mg(1)Si(1)O(3),1.54222,2505469.0,4.13499,5.0,MgPerovskite,0.84088,0.0,,300.0,,880.01895,-2.4445,-2.4445,
-2017223.98,ring,6,Mg(2)Si(1)O(4),1.1072,1848999.3,4.22034,7.0,MgRingwoodite,2.39042,0.0,,300.0,,875.13511,-3.9493,-3.9493,
-3002410.17,ts,6,Mg(1)Al(2)Si(1)O(6),0.78477,1070768.1,7.02751,10.0,MgTschermaks,3.43847,0.0,,300.0,,783.94073,-5.914,-5.914,
-2028172.68,wad,6,Mg(2)Si(1)O(4),1.20388,1687010.6,4.12303,7.0,MgWadsleyite,2.21007,0.0,,300.0,,845.20132,-4.0515,-4.0515,
-6167391.6,mnal,6,Na(1)Mg(2)Al(5)Si(1)O(12),1.42971,2039950.1,4.31884,21.0,MgNAL,1.0,0.0,,300.0,,858.38264,-10.9883,-10.9883,
-1313625.76,ppv,6,Mg(1)Si(1)O(3),1.76958,2920000.0,3.74,5.0,MgPostPerovskite,2.04631,0.0,,300.0,,941.49795,-2.3525,-2.3525,
-1835429.51,nfer,6,Na(1)Al(1)Si(1)O(4),1.56672,2200000.0,4.1,7.0,NaCaFerrite,1.0,0.0,,300.0,,683.31827,-3.627,-3.627,
-5303066.24,namj,6,Na(2)Al(2)Si(4)O(12),1.25078,1720351.5,5.2005,20.0,NaMajorite,0.10916,0.0,,300.0,,844.73722,-11.0842,-11.0842,
-1994469.57,neph,6,Na(1)Al(1)Si(1)O(4),0.6969,530555.0,4.0,7.0,Nepheline,1.0,0.0,10.0,300.0,467.0,743.57985,-5.3868,-5.3868,0.08
-5567127.9,nnal,6,Na(3)Al(3)Si(3)O(12),1.42971,2039950.1,4.31884,21.0,NaNAL,1.0,0.0,,300.0,,850.32833,-10.9401,-10.9401,
-3015734.13,odi,6,Ca(1)Mg(1)Si(2)O(6),0.78477,1070768.1,7.02751,10.0,OrthoDiopside,3.43847,0.0,,300.0,,744.54893,-6.8054,-6.8054,
-2278109.88,per,6,Mg(1)O(1),1.45033,1611439.3,3.90838,8.0,Periclase,1.5487,0.0,,300.0,,770.90151,-4.4976,-4.4976,
-5937137.35,py,6,Mg(3)Al(2)Si(3)O(12),1.01422,1702396.4,4.11067,20.0,Pyrope,1.42169,0.0,,300.0,,823.23783,-11.308,-11.308,
-860118.03,qtz,6,Si(1)O(2),-0.03958,614253.7,19.78011,3.0,Quartz,1.0,0.0,5.76,300.0,847.0,884.20481,-2.2421,-2.2421,0.1359
-8680043.36,sp,6,Mg(4)Al(8)O(16),0.97518,1951393.3,4.62659,28.0,MgSpinel,4.05077,0.0,,300.0,,856.3695,-15.9048,-15.9048,
-817491.62,st,6,Si(1)O(2),1.55674,3058330.2,4.0292,3.0,Stishovite,2.2096,0.0,4e-05,300.0,-4250.0,1092.17047,-1.4017,-1.4017,
-974607.49,wus,6,Fe(1)O(1),1.45033,1607000.0,4.0,8.0,Wuestite,1.5487,0.0,53.5254,300.0,191.0,454.1752,-4.9024,-4.9024,
